system:index,AREA_TOTAL,DESC_TALHA,FAZENDA,NOME_FAZ,TALHAO,date,.geo
20260104T133841_20260104T134614_T21KZV_30,98.16,A3,3,SAN JORGE,3,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.15185499999999,-18.700852],[-53.151855,-18.692422],[-53.159510000000004,-18.697071],[-53.160959,-18.697965],[-53.161184,-18.698082],[-53.161206,-18.698118],[-53.16120000000001,-18.698169],[-53.160723,-18.6992],[-53.16003599999999,-18.700618],[-53.159451000000004,-18.701766],[-53.15865800000001,-18.70325],[-53.158035,-18.704505000000005],[-53.157987,-18.704556],[-53.157907,-18.704545000000003],[-53.157633,-18.704383],[-53.15185499999999,-18.700852]]]}"
20260104T133841_20260104T134614_T21KZV_31,121.19,A1,3,SAN JORGE,1,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.157982,-18.704712999999998],[-53.158041,-18.704698],[-53.15811,-18.704717999999996],[-53.15967700000001,-18.705613000000003],[-53.161882,-18.706934000000004],[-53.16244999999999,-18.707284],[-53.163008,-18.707655],[-53.164805,-18.708692],[-53.15609299999999,-18.708691999999996],[-53.15768099999999,-18.705303],[-53.157944,-18.704759],[-53.157982,-18.704712999999998]]]}"
20260104T133841_20260104T134614_T21KZV_32,90.49,A2,3,SAN JORGE,2,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.156034,-18.708692000000003],[-53.15185499999999,-18.708692],[-53.151855,-18.700922999999996],[-53.15445700000001,-18.702533],[-53.15487,-18.702767000000005],[-53.157719,-18.704478999999996],[-53.157917,-18.704622000000004],[-53.157933,-18.704662],[-53.15792299999999,-18.704708],[-53.157719,-18.705084],[-53.15751999999999,-18.705551999999997],[-53.156034,-18.708692000000003]]]}"
20260104T133841_20260104T134614_T21KZV_33,116.55,E1,3,SAN JORGE,31,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.154404,-18.685048000000002],[-53.154489,-18.685053],[-53.154913,-18.685251],[-53.15573400000001,-18.685561],[-53.15626,-18.68581],[-53.156823,-18.686019000000005],[-53.157976,-18.686512],[-53.158352,-18.686648999999996],[-53.159473,-18.687127],[-53.15975699999999,-18.687228],[-53.161265,-18.687878999999995],[-53.153068,-18.687879000000002],[-53.15416199999999,-18.685485],[-53.154360999999994,-18.685084],[-53.154404,-18.685048000000002]]]}"
20260104T133841_20260104T134614_T21KZV_34,175.12,B2,3,SAN JORGE,12,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.149425,-18.729502000000004],[-53.15185499999999,-18.729502000000004],[-53.151855,-18.739358000000003],[-53.151625,-18.739353000000005],[-53.151571000000004,-18.739317],[-53.15154999999999,-18.739266],[-53.149425,-18.729502000000004]]]}"
20260104T133841_20260104T134614_T21KZV_35,168.27,B3,3,SAN JORGE,13,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.151587000000006,-18.739388],[-53.151641000000005,-18.739373],[-53.151855,-18.739378000000002],[-53.15185499999999,-18.740846000000005],[-53.151555,-18.739464000000005],[-53.151555,-18.739429],[-53.151587000000006,-18.739388]]]}"
20260104T133841_20260104T134614_T21KZV_36,90.49,A2,3,SAN JORGE,2,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.151855,-18.708808],[-53.15166200000001,-18.708691999999996],[-53.15185499999999,-18.708692],[-53.151855,-18.708808]]]}"
20260104T133841_20260104T134614_T21KZV_37,164.91,B1,3,SAN JORGE,11,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.14510700000001,-18.709498999999997],[-53.145091,-18.708692],[-53.15155000000001,-18.708692],[-53.15185499999999,-18.708869000000004],[-53.15185499999999,-18.722582],[-53.14809,-18.721770000000003],[-53.1478,-18.721749],[-53.147768,-18.721739],[-53.14773,-18.721683000000002],[-53.145332,-18.710612000000005],[-53.145289,-18.710465000000003],[-53.145134,-18.709713],[-53.14510700000001,-18.709498999999997]]]}"
20260104T133841_20260104T134614_T21KZV_38,175.12,B2,3,SAN JORGE,12,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.147993,-18.721774999999997],[-53.148251,-18.721824999999995],[-53.151855,-18.722608],[-53.15185499999999,-18.729502000000004],[-53.149425,-18.729502000000004],[-53.148288,-18.724295],[-53.14776799999999,-18.721836],[-53.14776799999999,-18.7218],[-53.147784,-18.721785],[-53.147993,-18.721774999999997]]]}"
20260104T133841_20260104T134614_T21KZV_39,116.55,E1,3,SAN JORGE,31,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.15185499999999,-18.690515999999995],[-53.151855,-18.692396],[-53.15124900000001,-18.69204],[-53.151222000000004,-18.691989999999997],[-53.151222000000004,-18.691929000000002],[-53.15185499999999,-18.690515999999995]]]}"
